#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-12T16:31:21 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-12T16:31:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-out.src=J/A+A/674/A172/pn-0-11&-source=J/A+A/674/A172/pn-0-11&-out=Line&-out=WaveLab&-out=WaveObs&-out=e_WaveObs&-out=Flux&-out=e_Flux&-out=Width&-out=e_Width&-out=Flag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36740172
#Name: J/A+A/674/A172
#Title: Euclid prep. XXVII. UV-NIR spectral atlas (Euclid Coll., 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/674/a172	    IVOID of underlying data collection
#INFO	creator=Euclid Collaboration: Paterson K.	    First author or institution
#INFO	cites=bibcode:2023A&A...674A.172E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/674/A172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36740172	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_674_A172_pn-0-11:
#Name: J/A+A/674/A172/pn-0-11
#Title: Spectral atlas of LMC-SMP-58
#Column	Line	(a12)	Best identification of line	[ucd=meta.id;spect.line]
#Column	WaveLab	(F9.3)	Laboratory vacuum wavelength	[ucd=em.wl]
#Column	WaveObs	(F19.13)	Observed heliocentric vacuum wavelength	[ucd=em.wl]
#Column	e_WaveObs	(D23.16)	? Error on measured wavelength	[ucd=stat.error]
#Column	Flux	(D23.16)	Integrated line fluxes (erg/cm^2^/s)	[ucd=phot.flux;spect.line]
#Column	e_Flux	(D23.16)	? Error on fluxes (erg/cm^2^/s)	[ucd=stat.error;phot.flux]
#Column	Width	(F20.17)	FWHM of line	[ucd=spect.line.width;spect.line]
#Column	e_Width	(D23.16)	? Error on FWHM	[ucd=stat.error;spect.line.width]
#Column	Flag	(F4.1)	[0/2] Goodness of flux flag	[ucd=meta.code.error]
Line	WaveLab	WaveObs	e_WaveObs	Flux	e_Flux	Width	e_Width	Flag
H12         	 3751.200	 3754.6490587336029	 1.0442370777009944e-02	 7.6050205516377531e-15	 1.0249524388911980e-15	 0.34514807764776700	 1.0453243240979019e-02	 0.0
H11         	 3771.710	 3775.1606282068392	 8.0274443934385317e-03	 9.6596878686892076e-15	 1.0742444911606198e-15	 0.34897418120019191	 8.0057425599349766e-03	 0.0
H10         	 3798.980	 3802.4403633027791	 1.6518526695799757e-02	 1.2451336406038827e-14	 1.3447364377055311e-15	 0.34420881636888856	 1.6506162487175194e-02	 0.0
HeI         	 3820.690	 3824.2081435007694	 2.4768997388799705e-02	 2.9767290292621413e-15	 1.3076501601605350e-15	 0.30659466105571359	 2.3060770508169976e-02	 0.0
H9          	 3836.480	 3839.9606398375031	 4.5877222420086534e-03	 1.7320141894661165e-14	 1.2383987564043872e-15	 0.34078717525181390	 4.5185357533165929e-03	 0.0
[NeIII]     	 3869.860	 3873.3929562541020	 2.1285672895398583e-03	 1.1911778568530509e-13	 1.4481748104090864e-15	 0.32863847601585927	 1.8274530280202096e-03	 0.0
H8          	 3890.160	 3893.6156717481313	 2.7096747736814605e-03	 3.4303497862403168e-14	 9.8961781595486770e-16	 0.39087894513401433	 2.5435199573395051e-03	 0.0
HeI         	 3965.850	 3969.4669356388254	 1.7862680925186371e-02	 2.3778557943909326e-15	 7.1104584164494030e-16	 0.34479366767919978	 1.9563354916580341e-02	 0.0
[NeIII]     	 3968.590	 3972.2127283398531	 4.3286798508670177e-02	 3.5322446789138151e-14	 8.9490578447348953e-16	 0.32310214624022143	 4.0703645219339543e-02	 0.0
H{epsilon}  	 3971.200	 3974.8207052421285	 4.4998049465787261e-02	 3.6378887130999886e-14	 9.0074061856081874e-16	 0.34319877367750379	 4.2473358735041766e-02	 0.0
HeI         	 4027.330	 4031.0171372145983	 1.0218241013660753e-02	 6.0284456984342495e-15	 8.9722454360127032e-16	 0.35587444755813513	 1.0280770422707758e-02	 0.0
[SII]       	 4069.750	 4073.4678857603167	 3.1133184553432759e-02	 2.5899180290744343e-15	 7.1621261057290873e-16	 0.35922276336776476	 3.1451692445007694e-02	 0.0
[SII]       	 4077.500	 4081.0892761637406	 3.5718417672958198e-02	 1.1130410907945827e-15	 6.3522871838552378e-16	 0.33949684753469411	 3.8307370273280336e-02	 0.0
H{delta}    	 4102.900	 4106.6422356655057	 1.9233075482382905e-03	 6.3745114729682607e-14	 8.8694372970404364e-16	 0.37094116485983980	 1.6777585959472669e-03	 0.0
HeI         	 4121.980	 4125.7847225479127	 5.7240089471684200e-02	 5.3521122799106340e-16	 4.8104007419925087e-16	 0.29869556166743289	 6.0642357647507895e-02	 0.0
HeI         	 4144.930	 4148.7085222224996	 3.4613366325246905e-02	 9.3872819274783988e-16	 5.1290694955750518e-16	 0.38284977403729353	 3.7529630252947407e-02	 0.0
CII         	 4268.460	 4272.2494857637375	 1.6373522273662400e-02	 3.1762723596408350e-15	 6.8290609221293362e-16	 0.34227138898340920	 1.6507667208286531e-02	 0.0
H{gamma}    	 4341.690	 4345.6484636601836	 1.9049745505494147e-03	 1.1805349660747317e-13	 9.4769935766682171e-16	 0.38859648825496690	 1.5782151806711187e-03	 0.0
[OIII]      	 4364.430	 4368.4117876545897	 2.7481197222509364e-03	 2.3414482708684187e-14	 5.3732493723470955e-16	 0.36919740462556988	 2.5357399308852621e-03	 0.0
HeI         	 4389.160	 4393.1613047598157	 1.9420539059211848e-02	 1.6236374156297388e-15	 4.0878935079267460e-16	 0.37258015725225957	 1.9617152714028193e-02	 0.0
HeI         	 4472.740	 4476.8369100413702	 5.7719191158460892e-03	 1.3819379521800483e-14	 6.1799431547690026e-16	 0.37034640521203172	 5.6339350431752538e-03	 0.0
OII         	 4650.440	 4654.7993724210719	 7.5843244511314065e-02	 3.2295132563084537e-16	 3.3272616804688165e-16	 0.31713729706139981	 7.6776501116074522e-02	 0.0
HeI         	 4714.470	 4718.7750660768188	 1.2060107255995559e-02	 2.5267634028160542e-15	 4.0824307024672038e-16	 0.37235666436068077	 1.2094226381125313e-02	 0.0
[ArIV]      	 4741.450	 4745.8245368185853	 4.3149335903418573e-02	 7.6835296979269091e-16	 3.9970286837199180e-16	 0.34584663270237420	 4.6320060563265708e-02	 0.0
H{beta}     	 4862.690	 4867.1090056581133	 2.2004314334368976e-03	 2.7009031062191741e-13	 1.2757355825403935e-15	 0.42508746779812867	 1.7513410442729646e-03	 0.0
HeI         	 4923.310	 4927.7747442345353	 9.0732254026726616e-03	 3.6745376612823379e-15	 3.4470954609765914e-16	 0.41228144249051285	 9.0482156520912439e-03	 0.0
[OIII]      	 4932.600	 4937.1608839371702	 9.0398447145590408e-02	 3.2766710489887729e-16	 3.1857170618825009e-16	 0.41844895489627409	 9.9787571381077661e-02	 0.0
[OIII]      	 4960.300	 4964.8347523263683	 3.0331277468725708e-03	 6.6821160651496614e-13	 1.6578879400729846e-15	 0.39144580720507344	 2.2620787480815488e-03	 0.0
[OIII]      	 5008.240	 5012.8260379247231	 3.5708708139690019e-03	 2.0121927316936211e-12	 3.1447077393545013e-15	 0.38405750925846277	 2.5407001480665407e-03	 0.0
HeI         	 5017.080	 5021.6338138132060	 6.5797045254004189e-03	 7.3074447634450520e-15	 3.7312333148235432e-16	 0.40344311797079568	 6.9214853967711262e-03	 0.0
HeI         	 5049.150	 5053.7465406884648	 5.1694269928453253e-02	 8.2245028206242431e-16	 4.0289220954393922e-16	 0.46583486189502282	 5.7780561268109952e-02	 0.0
HeI         	 5877.240	 5882.6551172038844	 4.1898892581039423e-03	 5.4125663524971171e-14	 2.9574987904755303e-15	 0.35469520814370786	 4.1328235888463726e-03	 0.0
[OI]        	 6302.050	 6307.7999154034733	 1.9367376263433003e-02	 7.9998363411859768e-15	 1.7537795858168849e-15	 0.39090492768817225	 1.9511065331493643e-02	 0.0
[SIII]      	 6313.810	 6319.5279939103257	 2.4861447757615496e-02	 5.3914568413887613e-15	 1.7721469979074498e-15	 0.37386676915632205	 2.5210392209696939e-02	 0.0
[NII]       	 6549.860	 6555.8326507329057	 1.2512001321604320e-02	 8.1006496637872025e-15	 1.4286081396338716e-15	 0.35981701819600798	 1.2625702790345309e-02	 0.0
H{alpha}    	 6564.630	 6570.5937943306853	 7.4706164959308942e-04	 9.9133860033879356e-13	 4.0978201649574220e-15	 0.41772685273483545	 5.6910445830945480e-04	 0.0
CII         	 6579.870	 6585.8042301399300	 3.6330995681056091e-02	 3.1896947713077041e-15	 1.5329674074170963e-15	 0.41071469633899776	 3.8562714925480482e-02	 0.0
[NII]       	 6585.270	 6591.2416580402278	 8.6236814563960765e-03	 2.6116577903792557e-14	 1.5913880923736386e-15	 0.38510614762035034	 8.5913980419716381e-03	 0.0
HeI         	 6680.000	 6686.0993104464715	 1.1382141431593400e-02	 1.4633213304885503e-14	 2.1845668209531997e-15	 0.38876920505004681	 1.1484259872323196e-02	 0.0
[SII]       	 6732.670	 6738.8427173315495	 5.9689965346945206e-02	 2.4230213351849073e-15	 1.5157515052544476e-15	 0.40388778093923794	 6.2742953610255850e-02	 0.0
HeI         	 7067.140	 7073.6165031591381	 3.0127715928475380e-03	 4.3067520461734940e-14	 1.2372990612106619e-15	 0.41814581398362216	 2.9273817552629509e-03	 0.0
[ArIII]     	 7137.760	 7144.2314697235106	 3.3493084003420820e-03	 2.6456924150690242e-14	 1.1216527908446837e-15	 0.37399809623959412	 3.2896440592874521e-03	 0.0
CII         	 7233.330	 7239.8837727183454	 6.0792729446488995e-02	 1.7532352665869642e-15	 1.2290130317585327e-15	 0.33716631825758736	 6.4139289568758376e-02	 0.0
CII         	 7238.410	 7245.0221947404925	 5.6646098441641160e-02	 4.0423720973550297e-15	 1.6120724689443658e-15	 0.45537222221239892	 5.9248618574589275e-02	 0.0
HeI         	 7283.360	 7290.0401740762609	 3.4690627530148878e-02	 3.5613703096188142e-15	 1.4139584884696586e-15	 0.36403627315497999	 3.5088152599719410e-02	 0.0
[OII]       	 7322.010	 7328.6666892469166	 4.6786293264000516e-02	 1.7546348725970660e-14	 1.4125588708634635e-15	 0.55609712911520426	 4.7479074694095409e-02	 0.0
[OII]       	 7332.750	 7338.9357425421231	 1.2721446916967577e-01	 1.5822167654028276e-14	 1.5001759756603659e-15	 0.74062912216062626	 1.2995314642103126e-01	 0.0
[ArIII]     	 7753.240	 7760.3006051262519	 1.2775427844201884e-02	 6.9439144363347152e-15	 9.2071714775157762e-16	 0.41631008612606518	 1.2901729330412712e-02	 0.0
Pa20        	 8394.700	 8402.3258951071748	 1.0410477445691500e-01	 1.7533033533705136e-15	 1.3402777150122674e-15	 0.52093825203833322	 1.0893122757581775e-01	 0.0
Pa19        	 8415.630	 8423.3608548167776	 8.6337989889737787e-02	 1.6778177481084870e-15	 1.1769160890346306e-15	 0.52278848860129101	 9.0074361140143763e-02	 0.0
Pa18        	 8440.270	 8447.8667856769061	 4.9842866593281888e-02	 1.6111690914901179e-15	 9.9657562225107348e-16	 0.43512803992697280	 5.1792821358848690e-02	 0.0
OI          	 8449.080	 8456.5280428588321	 3.6970592872438514e-02	 4.8083745604238996e-15	 1.1193802451193190e-15	 0.56927965950238557	 3.7823409038635840e-02	 0.0
Pa17        	 8469.580	 8477.2699718226941	 4.0788939844281204e-02	 1.7960010399475114e-15	 9.1085511940542850e-16	 0.42353447993925658	 4.2277702677702769e-02	 0.0
Pa16        	 8504.820	 8512.5690135823716	 4.8166074973035163e-02	 2.2543675731460661e-15	 9.3669010060520188e-16	 0.51642490472216174	 4.9646433982605959e-02	 0.0
Pa15        	 8547.730	 8555.5239627838346	 3.8843581439916099e-02	 2.8693764736020686e-15	 9.1652001631809008e-16	 0.55812378303190746	 3.9710520132115935e-02	 0.0
Pa14        	 8600.750	 8608.5796425363660	 2.6523204038720057e-02	 3.2779963991600157e-15	 8.8345244601636685e-16	 0.53529759854296699	 2.7097672152516107e-02	 0.0
Pa13        	 8667.400	 8675.2303246844676	 3.3523643382700412e-02	 3.9158572855306362e-15	 1.0073407311630918e-15	 0.57217563592761178	 3.5032187818995593e-02	 0.0
Pa12        	 8752.880	 8760.8083459634217	 2.9373662294116507e-02	 5.0152033795543260e-15	 1.3030064053955259e-15	 0.53859620436149558	 3.0180427357065484e-02	 0.0
Pa11        	 8865.220	 8873.3301426973685	 2.0857842277037617e-02	 5.9767833359436309e-15	 1.1215315793477073e-15	 0.53300953552487962	 2.1284083125172455e-02	 0.0
Pa10        	 9017.380	 9025.5492350366494	 1.4273094621423911e-02	 8.2935059176151836e-15	 9.4519814700002074e-16	 0.53509626439055202	 1.4157947095195170e-02	 0.0
[SIII]      	 9071.100	 9079.6717055538174	 2.0544685066901341e-03	 5.7210262097046281e-14	 1.0561791487790645e-15	 0.47490523613299562	 1.9600720385479792e-03	 0.0
Pa9         	 9231.550	 9239.9651430976755	 1.5442206485886059e-02	 1.0922276469118096e-14	 1.5576442107373387e-15	 0.59493514477351184	 1.5708486571731919e-02	 0.0
HeI         	 9466.160	 9474.7917094639379	 7.9133348403429254e-02	 1.7909771858990134e-15	 1.1898217579126277e-15	 0.50482484958482499	 8.4496615392173666e-02	 0.0
[SIII]      	 9533.200	 9542.2701355845238	 3.7273439692437527e-03	 1.4519179632935580e-13	 1.6975552057130052e-15	 0.53678059200977735	 3.5892108316155080e-03	 0.0
Pa{epsilon} 	 9548.590	 9557.2125396836909	 1.3562649828325789e-02	 1.7020757642289456e-14	 1.7294560340276288e-15	 0.63805419514910233	 1.3643410186014608e-02	 0.0
Pa{delta}   	10052.120	10061.3140348456745	 2.7244317564100246e-02	 2.2062523537031431e-14	 4.3193486220781623e-15	 0.64052161872142233	 2.8032276062904173e-02	 0.0
[SII]       	10289.550	10299.1197024263311	 1.4865441583171002e-01	 6.8626358717262172e-16	 5.7588612166962508e-16	 0.41898241264461422	 2.2909376411595908e-01	 0.0
[SII]       	10323.320	10332.8335671016193	 1.6945704893787317e-01	 1.6503420024318274e-15	 7.4455758331275250e-16	 1.13262391600406209	 3.9818539349904236e-01	 0.0
[SII]       	10339.240	10348.8341596434821	 1.1677957694004035e-01	 1.3408670155550220e-15	 5.9390372230307080e-16	 0.92072762757666882	 1.3149281194801926e-01	 0.0
HeI         	10833.250	10843.4267989365617	 2.7316889484790004e-02	 5.7051689645986550e-13	 6.8815843018050489e-16	 1.25614455862796826	 2.3403376159313379e-02	 0.0
HeI         	10915.980	10926.1237151631849	 8.0395357167568557e-02	 9.0796534989425545e-16	 2.4702026930722494e-16	 0.47439886244391422	 8.7265873773294325e-02	 0.0
Pa{gamma}   	10941.080	10951.1914080204169	 5.2497451511444365e-03	 3.4442966817900307e-14	 2.8910512170246697e-16	 0.83648046054132053	 5.1069706410514903e-03	 0.0
CI          	11886.230	11897.1672789721015	 1.1305691977260263e-01	 6.2197756354238635e-16	 1.9149777565884887e-16	 0.85825019598960273	 1.0867482436168532e-01	 0.0
HeI         	11972.340	11983.4322061628081	 6.4130210855788822e-02	 9.7396692988970885e-16	 1.7511951283683403e-16	 0.81772929329340482	 7.2027934158763879e-02	 0.0
HeI         	12530.830	12542.4148015906740	 2.3008191937444095e-02	 1.8773708169998537e-15	 1.5090701203149358e-16	 0.82424755068165456	 2.3048684514528840e-02	 0.0
HeI         	12788.410	12800.1550990278811	 4.2653851006017596e-02	 2.9965658425470568e-15	 2.5467671579288787e-16	 0.79720411929673529	 3.9389738742318936e-02	 0.0
HeI         	12794.010	12805.8020743383968	 1.4894046505705169e-01	 8.3987375551954526e-16	 3.0006541380861641e-16	 0.96277277884386570	 1.7297601442213989e-01	 0.0
Pa{beta}    	12821.580	12833.3232978427550	 2.2830553527808687e-03	 6.3959743494489572e-14	 2.7102719769162980e-16	 0.97636524530340152	 2.1573186990740015e-03	 0.0
HeI         	12971.980	12983.7737943777483	 1.8528254305390751e-01	 3.5525060014644689e-16	 1.8109133145833980e-16	 1.24802481426648337	 2.0660144910111164e-01	 0.0
FeII        	13168.210	13180.2914613657867	 5.4876939552997883e-02	 1.0989695572581629e-15	 1.4173421876223306e-16	 1.10680518883574863	 5.7576061072608570e-02	 0.0
Br27        	14915.540	14929.4455938756710	 1.8116843773701025e-01	 2.8621704512288755e-16	 1.6448138239218097e-16	 1.18556587261824542	 2.1205694272243444e-01	 0.0
Br25        	14971.440	14985.2524489285242	 1.4245543551125880e-01	 3.5136430859306127e-16	 1.5998482786945579e-16	 1.82227260863999074	 2.6925328942645727e-01	 0.0
Br24        	15004.980	15018.4142884401481	 1.4779498234757502e-01	 4.9800391502802950e-16	 1.3748906034488241e-16	 1.47220668954705824	 1.8996838906228466e-01	 0.0
Br22        	15086.920	15101.0264368224289	 5.4458502177907119e-02	 7.0229055065231699e-16	 1.1210990468563139e-16	 1.22917902072931984	 6.4138113305109393e-02	 0.0
Br21        	15137.380	15151.0867974348203	 6.9740794833389255e-02	 4.4882488958255647e-16	 9.0293130246093048e-17	 0.91238917721964463	 7.1418239662996000e-02	 0.0
Br20        	15196.010	15209.9835793319617	 6.7233385881453431e-02	 5.4822889053603191e-16	 7.4344927419792756e-17	 1.04521813843844646	 6.8363539700572615e-02	 0.0
Br19        	15264.730	15279.5069660623831	 4.4339548637100525e-02	 2.6004113152982915e-16	 5.1735364074788179e-17	 0.53576526010301095	 4.2277068535412014e-02	 0.0
Br18        	15346.000	15360.0289508837304	 5.1938325162232728e-02	 7.1638343920228442e-16	 7.3558818501287758e-17	 1.10513352032927714	 5.1777031697838503e-02	 0.0
Br17        	15443.160	15457.3440512755133	 4.3229139300131787e-02	 8.9919750129599074e-16	 7.9341080012889360e-17	 1.15067743929734623	 4.4338197292582190e-02	 0.0
Br16        	15560.720	15574.9443089906890	 3.7824537149061845e-02	 9.7826812734977915e-16	 8.1982288584006666e-17	 1.08090156197073828	 3.8770967655904445e-02	 0.0
Br15        	15704.970	15719.3024814232886	 3.9670440108683667e-02	 1.0681459699290390e-15	 1.0126038241731929e-16	 1.00614371252267865	 4.0098848885417052e-02	 0.0
Br14        	15884.900	15899.2995508253280	 2.6475779887971132e-02	 1.4021642279881052e-15	 9.3049111897899464e-17	 1.10156262403300653	 2.7316341260956896e-02	 0.0
Br13        	16113.730	16128.3868311815822	 6.2993171002875090e-02	 1.5397796953628879e-15	 2.0995283640683430e-16	 0.84440270889068791	 6.0202085473949056e-02	 0.0
Br12        	16411.690	16426.7359651801671	 1.7923653647840532e-02	 2.3227166547586115e-15	 6.2731863509226409e-17	 1.20636040319970550	 1.8536930710593150e-02	 0.0
Br11        	16811.130	16826.5606102736310	 1.9256874183992957e-02	 2.9538298422654852e-15	 8.9539215593816183e-17	 1.18981403870606428	 1.7885836694566264e-02	 0.0
HeI         	17007.040	17022.5712690584842	 2.4077901081594202e-02	 1.7287171700358677e-15	 7.7585405262818165e-17	 1.21111034747000779	 2.4582799258241750e-02	 0.0
HeI         	17356.450	17372.8318306865694	 1.2019032927558651e-01	 2.2152774987673070e-16	 6.0978647927630839e-17	 1.41892266586586002	 1.6165775921758388e-01	 0.0
Br10        	17366.890	17382.8474297655885	 2.6876391308527793e-02	 3.8231657799219266e-15	 1.1050205912703486e-16	 1.29771748526585373	 2.5092294485612458e-02	 0.0
Br{epsilon} 	18179.100	18195.7081893355280	 1.1591083515990959e-02	 5.5312354954365189e-15	 1.4663503427932146e-16	 1.29667883010433593	 1.1082097429167210e-02	 0.0
Pa{alpha}   	18756.100	18773.8822890363590	 2.3643744527368399e-01	 9.2619121796963748e-15	 4.1158862974149034e-15	 1.33032905624741304	 1.0686509846673756e-01	 0.0
Br{delta}   	19450.890	19468.8691968671483	 2.0449189158702828e-02	 9.6828871089635949e-15	 1.3595983562339975e-16	 1.45574560047588486	 1.8900369195850659e-02	 0.0
HeI         	19548.460	19565.6650294307947	 1.1618966088471898e-01	 9.6750207363320152e-16	 2.8237941905408859e-16	 2.07666100164996514	 2.4187350182094411e-01	 0.0
HeI         	20586.900	20605.9000396855845	 6.1028472374662539e-03	 1.0524873229259833e-14	 7.0362900478766691e-17	 1.34780909127976734	 6.2449168875807533e-03	 0.0
HeI         	21125.840	21145.1514050307487	 6.5258043538183041e-02	 6.6310277659781149e-16	 5.4574346787086350e-17	 1.33483220523571733	 6.6862669961519780e-02	 0.0
H2_10S1     	21218.300	21237.8488031428169	 1.1386354607282109e-01	 3.4054664948024538e-16	 5.7524969700971613e-17	 1.61360624980113498	 1.6086613201300606e-01	 0.0
HeI         	21647.400	21667.6607097837150	 6.5452771062405601e-02	 6.5176796323282586e-16	 2.2021432764579764e-16	 1.73229788578031507	 1.8999549564894697e-01	 0.0
Br{gamma}   	21661.210	21681.0734592365625	 1.3909021133675283e-02	 1.1874867737044372e-14	 5.8972270480898406e-17	 1.56126745844366388	 1.3885736260743218e-02	 0.0
CI]         	22866.000	22888.1892036126337	 8.0391576660119618e-02	 8.2572503414674597e-16	 7.6022362945208339e-17	 1.61937988710958236	 8.3405961324308719e-02	 0.0

